id,song,artist,album,year,i,j,k,disruption
"1043","11- Protesto.mp3", "Gilvan Chaves","[1963] - Gilvan Chaves - 1963 - Gilvan Chaves (Forró em vinil)","1963",15,1,0,0.875000
"2882","01 Vai meu balão.mp3", "Marinês","[1970] - Marinês - 1970 - Sonhando com meu bem (Forró em vinil)","1970",17,2,0,0.789474
"10201","09 Casal de namorados.mp3", "Benedito Nunes","[1982] - Benedito Nunes - 1982 - O complicado (Forró em vinil)","1982",24,2,3,0.758621
"1044","08- A vida passou.mp3", "Gilvan Chaves","[1963] - Gilvan Chaves - 1963 - Gilvan Chaves (Forró em vinil)","1963",7,1,0,0.750000
"2658","05 Vida de vaqueiro - Sala de reboco - A vida do viajante.mp3", "Camarão","[1970] - 1970 - Camarão - A bandinha do Camarão vol.2 (Forró em vinil)","1970",18,1,4,0.739130
"6054","09 o erro meu.mp3", "Lucymar","[1976] - Lucymar - 1976 - O namoro e a poupança (Forró em vinil)","1976",22,1,6,0.724138
"1393","12-MENSAGEM AO DIVINO.mp3", "Ary Lobo","[1965] - 1965 - Ary Lobo - Zé Mané no coco (Forró em vinil)","1965",6,1,0,0.714286
"1420","05 Bizaco de bala.mp3", "Abdias","[1965] - Abdias - 1965 - Sai do sereno (Forró em vinil)","1965",45,7,2,0.703704
"1404","11 Deixei de caçar.mp3", "Zé do Baião","[1965] - 1965 - Zé do Baião - Forró dos namorados (Forró em vinil)","1965",17,1,6,0.666667
"2665","07 Saudades de Propiá.mp3", "Gerson Filho","[1970] - 1970 - Gerson Filho - É pra valer (Forró em vinil)","1970",7,1,1,0.666667
"11488","05 Estraga sapato.mp3", "Abdias","[1984] - Abdias - 1984 - Sanfoneiro desde menino (Forró em vinil)","1984",5,1,0,0.666667
"21006","04 = SAUDADE  = autor,paulo nacimento = eurico felix.mp3", "Trio Araripe- Forró balanceado (forró em vinil)","[2004] - 2004 - Trio Araripe- Forró balanceado (forró em vinil)","2004",5,1,0,0.666667
"12555","09 - Um Outro Um.mp3", "Geraldo Azevedo","[1986] - Geraldo Azevedo - 1986 - De Outra Maneira (Forró em vinil)","1986",5,1,0,0.666667
"10069","x04 - Choro em Patos.mp3", "Zé Paraíba","[1982] - 1982 - Zé Paraíba - O Rei da Sanfona (Forró em vinil)","1982",9,2,0,0.636364
"2017","03.Casamento na roca.mp3", "Pereirinha","[1967] - Pereirinha - 1967 -  Sao Joao de outrora (Forró em vinil)","1967",13,1,5,0.631579
"766","03 Faixa 3.mp3", "Zé Calixto","[1961] - Zé Calixto - 1961 - A volta do sanfoneiro (Forró em vinil)","1961",23,5,4,0.562500
"15207","10 Entre quatro paredes.mp3", "Zinho","[1991] - Zinho - 1991 - Ai o bicho pega (Forró em vinil)","1991",12,3,1,0.562500
"1189","02. Arrasta o pé Zé Lagoa.mp3", "Geraldo Correia","[1964] - Geraldo Correia - 1964 - Um baixinho e seus 8 baixos (Forró em vinil)","1964",10,1,5,0.562500
"2330","Sanfoneiro bom é 06 Piquenique.mp3", "Zé Calixto","[1968] - Zé Calixto - 1968 - Sanfoneiro bom é (Forró em vinil)","1968",6,1,2,0.555556
"780","12 Arraiá da Serra Grande.mp3", "Abdias","[1962] - Abdias - 1962 - Festa com oito baixos (Forró em vinil)","1962",13,1,8,0.545455
"1175","Lado B - Duas fia pra casá (Coroné Ludugero).mp3", "Coronel Ludugero","[1964] - Coronel Ludugero - 1964 - 78RPM (Forró em vinil)","1964",17,4,3,0.541667
"5440","09 Pisando firme.mp3", "Jackson do Pandeiro","[1975] - Jackson do Pandeiro - 1975 - A Tuba da Muié (Forró em vinil)","1975",11,2,5,0.500000
"855","JACKSON DO PANDEIRO - O Protetor.mp3", "Jackson do Pandeiro","[1962] - Jackson do Pandeiro - 1962 - A Alegria da casa (Forró em vinil)","1962",11,3,2,0.500000
"784","10 Garimpeiro.mp3", "Abdias","[1962] - Abdias - 1962 - Festa com oito baixos (Forró em vinil)","1962",6,1,3,0.500000
"3647","08 - Salgueirim.mp3", "Severino Januário","[1972] - Severino Januário - 1972 - Choveu no meu roçado (Forró em vinil)","1972",4,1,1,0.500000
"16599","05 Fada do oriente.mp3", "Heleno dos 8 Baixos","[1994] - Heleno dos 8 Baixos - 1994 - Heleno dos 8 Baixos (Forró em vinil)","1994",4,1,1,0.500000
"864","JACKSON DO PANDEIRO - Nao Sou Sapateiro.mp3", "Jackson do Pandeiro","[1962] - Jackson do Pandeiro - 1962 - A Alegria da casa (Forró em vinil)","1962",4,1,1,0.500000
"21415","03 - Dependente.mp3", "Caraforró","[2005] - Caraforró - 2005 (Forró em vinil)","2005",4,1,1,0.500000
"14676","04 A Feira de Caruaru.mp3", "Luiz Gonzaga","[1990] - Luiz Gonzaga - 1990 - Olha Pro Ceu (Forró em vinil)","1990",3,1,0,0.500000
"4134","13 Sem vergonheira.mp3", "Marines","[1973] - Marines - 1971 - 1973 - Meu Cariri (Forró em vinil)","1973",3,1,0,0.500000
