id,song,artist,album,year,i,j,k,disruption
"507","03 Diálogo.mp3", "Jararaca e Ratinho","[1960] - Jararaca e Ratinho - 1960 - Jararaca e Ratinho (Forró em vinil)","1960",37,0,0,1.000000
"10656","02 - Padrinho Cícero do Juazeiro.mp3", "Trio Juazeiro","[1982] - Trio Juazeiro - 1982 - Pedaço de fulô","1982",28,0,0,1.000000
"2428","08 Namorada de João.mp3", "Coroné Narcisinho","[1969] - Coroné Narcisinho - 1969 - Forró do Serrado (Forró em vinil)","1969",24,0,0,1.000000
"3551","01 Sem Vergonheira.mp3", "Marinês","[1972] - Marinês - 1972 - Canção da fé (Forró em vinil)","1972",22,0,0,1.000000
"887","10 Derramaro o Gai.mp3", "Luiz Gonzaga","[1962] - Luiz Gonzaga - 1962 - O Nordeste na Voz de Luiz Gonzaga (Forró em vinil)","1962",19,0,0,1.000000
"6574","01 lembranças.mp3", "Flávio José","[1977] - Flávio José - 1977 - Só confio em tu (forró em vinil)","1977",18,0,0,1.000000
"900","09 Forró De Zé Antão.mp3", "Luiz Gonzaga","[1962] - Luiz Gonzaga - 1962 - Ô Véio Macho (Forró em vinil)","1962",18,0,0,1.000000
"21915","01. Renascença  - Luiz Gonzaga.mp3", "Luiz Gonzaga","[2006] - Luiz Gonzaga - 2006 - Seu Canto, Sua Sanfona E Seus Amigos - Vol. 4 (Forró em vinil)","2006",17,0,0,1.000000
"2531","08 - Forró Pernambucano.mp3", "Pedro Sertanejo","[1969] - Pedro Sertanejo - 1969 - Balão, Quadrilha e Quentão (Forró em vinil)","1969",15,0,0,1.000000
"1124","05 Maranguape.mp3", "Severino Januário","[1963] - Severino Januário - 1963 - Tanguarina (Forró em vinil)","1963",15,0,0,1.000000
"21005","18 = SÃO JOÃO DE CAMPINA GRANDE  = autor, alusio cruz = expedito duarte ( Mano Novo ).mp3", "Trio Araripe- Forró balanceado (forró em vinil)","[2004] - 2004 - Trio Araripe- Forró balanceado (forró em vinil)","2004",15,0,0,1.000000
"1186","08 - Rala o coco Lili.mp3", "Dominguinhos","[1964] - Dominguinhos - 1964 - Fim de festa (Forró em vinil)","1964",15,0,0,1.000000
"12276","03 A festa que vamos ter.mp3", "Trio Pajeú","[1985] - Trio Pajeú - 1985 - Agora é assim (Forró em vinil)","1985",15,0,0,1.000000
"1150","05 - Quem dá aos pobres empresta a deus.mp3", "ary lobo","[1964] - 1964 - ary lobo - Forró em calcaia","1964",14,0,0,1.000000
"753","01 Xaxadinho das Alagoas.mp3", "Severino Januário","[1961] - Severino Januário - 1961 - Xaxadinho das Alagoas (Forró em vinil)","1961",14,0,0,1.000000
"13269","12 toca pai.mp3", "Luiz Gonzaga","[1987] - Luiz Gonzaga - 1987 - De fiá pavi (Forró em vinil)","1987",14,0,0,1.000000
"3886","07 - Mulher Dengosa.mp3", "Banda de Pífanos de Caruaru","[1973] - Banda de Pífanos de Caruaru - 1973 - Zabumba Caruaru Vol. II (Forró em vinil)","1973",13,0,0,1.000000
"5818","07 Forrozão.mp3", "Adolfinho","[1976] - Adolfinho - 1976 - Tocador de fole (Forró em vinil)","1976",13,0,0,1.000000
"725","08 - Aroeira.mp3", "Luiz Gonzaga","[1961] - Luiz Gonzaga - 1961 - Lua (Forró em vinil)","1961",13,0,0,1.000000
"5400","13 Pastoril do velho cebola.mp3", "Gilvan Chaves","[1975] - Gilvan Chaves - 1975 - vol2 - Série arquivo (Forró em vinil)","1975",12,0,0,1.000000
"13225","04 - Amor Visivel (Zé Conrado).mp3", "Irmãos do Baião","[1987] - Irmãos do Baião - 1987 - Forró de Luxo (Forró em vinil)","1987",12,0,0,1.000000
"10778","10. Forró em Serra Pelada.mp3", "Zé Paraíba","[1982] - Zé Paraíba - 1982 - O homem do povo (Forró em vinil)","1982",12,0,0,1.000000
"479","05. Tengo-tengo.mp3", "Gerson Filho","[1960] - Gerson Filho - 1960 - Xodó de sanfoneiro (Forró em vinil)","1960",12,0,0,1.000000
"994","12 - CINQšENTA MEGATONS.mp3", "gordurinha","[1963] - 1963 - gordurinha - um espetáculo (Forró em vinil)","1963",12,0,0,1.000000
"10661","04 Vamos para Sobradinho.mp3", "Trio Natal","[1982] - Trio Natal - 1982 - Trio Natal (Forró em vinil)","1982",11,0,0,1.000000
"7188","06 Edézio no frevo.mp3", "Genario","[1978] - Genario - 1978 - Forró moderno (Forró em vinil)","1978",11,0,0,1.000000
"3388","12 - Assim, não dá nenem.mp3", "Anastácia","[1972] - Anastácia - 1972 - Vamos xamegá","1972",11,0,0,1.000000
"6056","12 Apologia ao Jumento.mp3", "Luiz Gonzaga","[1976] - Luiz Gonzaga - 1976 - Capim Novo (forro em vinil)","1976",11,0,0,1.000000
"2430","03 O Juana.mp3", "Coroné Narcisinho","[1969] - Coroné Narcisinho - 1969 - Forró do Serrado (Forró em vinil)","1969",11,0,0,1.000000
"3089","10 - Zé Povinho.mp3", "Elino Juliao","[1971] - Elino Juliao - 1971 - Aquilo (1971)","1971",11,0,0,1.000000
"21889","11 Emoção de uma fã.mp3", "Joquinha Gonzaga","[2006] - Joquinha Gonzaga - 2006 - Cantos e causos de Gonzagão (Forró em vinil)","2006",11,0,0,1.000000
